Country,Country_code,Happiness.Scale,Happiness.Score,GDP,GINI,VoiceandAccountability,PoliticalStabilityNoViolence,GovermentEffectiveness,RegulatoryQuality,RuleofLaw,ControlofCorruption
Macedonia,MKD,3,-0.13008488063329204,-0.43283151894340516,-0.28642713464343705,-0.15720369873059128,-0.04138725579069354,0.14098762219251157,0.4773487379463379,-0.1833756782272931,-0.2142251482125388
Vietnam,VNM,3,-0.21908276226097056,-0.5940561988501823,-0.32497227932470757,-1.4732527637016954,0.5519779730661827,-0.00015033894661404233,-0.44783438382827695,0.1308608633706258,-0.4932548306809919
Nigeria,NGA,3,-0.21908276226097056,-0.613672569498574,0.664353100827888,-0.3674186721179466,-1.8552979462584733,-0.9875905623243649,-0.9468757264536878,-0.8129121455218297,-0.9838441075169932
Tajikistan,TJK,3,-0.24816118235758416,-0.6749313222835044,-0.4920012396102103,-1.8082231836438254,-0.48969430481695053,-1.151837474027899,-1.1258506240541994,-1.3057019434022246,-1.2496276648801006
Bhutan,BTN,3,-0.27459588053344447,-0.5527059293721488,-0.0551562665558178,0.0002038943328838109,1.432526471772309,0.569220967402863,-0.38042388286844386,0.6939293893124042,1.682501696876067
Kyrgyzstan,KGZ,3,-0.2807640047859399,-0.6529559243281831,-1.3528428041585723,-0.4682232734749852,-0.2380129551952187,-0.7353688967056504,-0.3986328241706267,-0.8728069297388538,-0.9694669807257147
Nepal,NPL,3,-0.3177731704728779,-0.6724145807424327,-0.6461818183352904,-0.25489259319271185,-0.4839135455445456,-0.9069901006600694,-0.7733029242575697,-0.6213172294043503,-0.6615701525050354
Mongolia,MNG,3,-0.32394129472538347,-0.5218901321316692,-0.710423726137407,0.2937001648235387,1.099286587339434,-0.27122811933569696,-0.1598830250978331,-0.24500119618205093,-0.36034002139393034
South Africa,ZAF,3,-0.4349679514422925,-0.3941851315801544,3.234029412912551,0.6541384765084913,-0.06098564240422416,0.28299605556957314,0.19891203609627023,0.049430501631515626,0.08794776722475188
Tunisia,TUN,3,-0.45611604612054285,-0.535169438358417,-0.6461818183352904,0.17662992751629827,-0.9019034376027398,-0.0732039683019888,-0.46152747618521595,0.1326208486285295,-0.0116166820365062
Egypt,EGY,3,-0.5177972886455215,-0.5903575529061141,-0.7746656339395231,-1.3143646639182458,-1.2900689590953762,-0.6377420532680725,-0.9228654163793684,-0.4789041398378351,-0.4505912368729577
Bulgaria,BGR,3,-0.5363016614030099,-0.2851993587100041,-0.0551562665558178,0.38442175298967457,0.6248492549315335,0.26527695077476265,0.6010953374477931,0.019472127046897634,-0.06645995429235058
Sierra Leone,SLE,3,-0.540707584489639,-0.690753875410246,-0.4920012396102103,-0.23384476766659307,0.2571686134661772,-1.239389618910928,-0.9822352904296399,-0.7328149127931781,-0.49990983161918273
Cameroon,CMR,3,-0.5530438329946312,-0.640779383564834,1.1268948370031275,-1.1054878055337776,-0.9360903407145247,-0.843420483442186,-0.8826470496136319,-0.9722779757801581,-1.1020417569890464
Iran (Islamic Republic of),IRN,3,-0.5556875549153931,-0.4234258365672537,0.27890165401518857,-1.3665522218737722,-0.7700682771411236,-0.1984621248809904,-1.2677010961321669,-0.6284318366138957,-0.7243969811457314
Albania,ALB,3,-0.5979833240999411,-0.478854547770466,-1.134420317631376,0.20028384399823812,0.6509619085992271,0.07465878155609995,0.18855405159122776,-0.34458810560779596,-0.3265650355210983
Bangladesh,BGD,3,-0.6297054661173167,-0.6373869622722562,-0.6975753445769834,-0.6539312025746186,-1.1123775246094723,-0.7594496643121628,-0.8667246504279746,-0.6164815193467538,-0.7446618038587096
Namibia,NAM,3,-0.6596649867968725,-0.44247880637869075,2.732942532056042,0.5604990665480258,0.9212560879839722,0.2011427137071829,-0.23407450349042372,0.302049292038176,0.42468855327412275
Kenya,KEN,3,-0.6781693595543609,-0.6332769818125004,0.38168870649857467,-0.22202514829318643,-0.9358058402085038,-0.3226079754654894,-0.27812061367727076,-0.3559337260678474,-0.870592672459802
Mozambique,MOZ,3,-0.6808126613031694,-0.6946007158822193,2.0776750724744524,-0.4516895822773453,-0.8192583380505668,-0.918195995154287,-0.7871563669968293,-0.9546496610434847,-0.7694203679647248
Myanmar,MMR,3,-0.6852185843897907,-0.6510228981233118,0.03478240436714577,-0.913886081649115,-0.9354859845476298,-1.0808423355168995,-0.8917789321518971,-0.8931826470854534,-0.4751805079416266
Senegal,SEN,3,-0.6940304305630487,-0.64721087986399,0.31744679869645814,0.3190018125579153,0.1773662115557693,-0.33058518708272683,-0.1909341913370415,-0.08922338700765592,0.00915545457404348
